use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W180P5.0,180,5.0,Linear Regression,2015/07/31,2015/02/02,8028,8028,2007,2007,0.0741674997843802,0.004558499902486801,982.1642251904515,0.8628123732526984
W180P5.0,180,5.0,Decision Tree Regressor,2015/07/31,2015/02/02,8028,8028,2007,2007,0.2911306000314653,0.0038696997798979282,1084.7509945130703,0.8241700230071206
W180P5.0,180,5.0,Lasso,2015/07/31,2015/02/02,8028,8028,2007,2007,0.048758700024336576,0.004226400051265955,982.5972495949898,0.8627940334835579
W180P5.0,180,5.0,Random Forest Regressor,2015/07/31,2015/02/02,8028,8028,2007,2007,1.3832780001685023,0.006841300055384636,836.2239162929745,0.8915412268887392
W180P5.0,180,5.0,Stacking Regressor,2015/07/31,2015/02/02,8028,8028,2007,2007,1.3571995999664068,0.005019200034439564,682.2196307446872,0.9301571020976811
W180P1.0,180,1.0,Linear Regression,2015/07/31,2015/02/02,1605,1605,402,402,0.01504819979891181,0.002296899911016226,1021.3438511175135,0.8517922785461013
W180P1.0,180,1.0,Decision Tree Regressor,2015/07/31,2015/02/02,1605,1605,402,402,0.03536910004913807,0.0022268998436629772,1382.8561808314112,0.7198314631467674
W180P1.0,180,1.0,Lasso,2015/07/31,2015/02/02,1605,1605,402,402,0.010850799735635519,0.003299199976027012,1022.0134944080585,0.8516080961197996
W180P1.0,180,1.0,Random Forest Regressor,2015/07/31,2015/02/02,1605,1605,402,402,0.20691190008074045,0.003574599977582693,1128.842039800995,0.8234808295254306
W180P1.0,180,1.0,Stacking Regressor,2015/07/31,2015/02/02,1605,1605,402,402,0.313090099953115,0.003042600117623806,828.6996401754398,0.8998189345991541
W365P100.0,365,100.0,Linear Regression,2015/07/31,2014/08/01,303548,303548,75887,75887,1.852988800033927,0.0411188998259604,972.9015968709977,0.8652567739220032
W365P100.0,365,100.0,Decision Tree Regressor,2015/07/31,2014/08/01,303548,303548,75887,75887,11.10728310002014,0.05491669988259673,736.1532903717322,0.9200612063068037
W365P100.0,365,100.0,Lasso,2015/07/31,2014/08/01,303548,303548,75887,75887,2.0064664999954402,0.04446500027552247,973.1878907518369,0.8652583911508283
W365P100.0,365,100.0,Random Forest Regressor,2015/07/31,2014/08/01,303548,303548,75887,75887,82.2750270999968,0.32651800010353327,528.7826197723808,0.9563850982156779
W365P100.0,365,100.0,Stacking Regressor,2015/07/31,2014/08/01,303548,303548,75887,75887,51.18820740003139,0.18796320026740432,376.55976528768156,0.9771755095837771
W365P90.0,365,90.0,Linear Regression,2015/07/31,2014/08/01,273193,273193,68299,68299,1.6628693998791277,0.054435799829661846,966.0273552745081,0.8694991479142689
W365P90.0,365,90.0,Decision Tree Regressor,2015/07/31,2014/08/01,273193,273193,68299,68299,10.360176999587566,0.04947090009227395,737.7931084055027,0.9192494589520251
W365P90.0,365,90.0,Lasso,2015/07/31,2014/08/01,273193,273193,68299,68299,1.9654984003864229,0.05706610018387437,966.3072796416926,0.8694850897897042
W365P90.0,365,90.0,Random Forest Regressor,2015/07/31,2014/08/01,273193,273193,68299,68299,78.38681189995259,0.4864095002412796,540.8027108742441,0.9542448846937543
W365P90.0,365,90.0,Stacking Regressor,2015/07/31,2014/08/01,273193,273193,68299,68299,45.281034499872476,0.1783424001187086,382.4870328804131,0.9767368120395986
W365P75.0,365,75.0,Linear Regression,2015/07/31,2014/08/01,227660,227660,56916,56916,1.3270535999909043,0.041079599875956774,971.4401738389904,0.8664596019712141
W365P75.0,365,75.0,Decision Tree Regressor,2015/07/31,2014/08/01,227660,227660,56916,56916,8.598097700159997,0.047775200102478266,753.9880660103433,0.9147794965500602
